Category: All categories

Week,scotch: (Worldwide)
2019-08-11,67
2019-08-18,65
2019-08-25,66
2019-09-01,70
2019-09-08,68
2019-09-15,66
2019-09-22,64
2019-09-29,66
2019-10-06,70
2019-10-13,66
2019-10-20,71
2019-10-27,68
2019-11-03,72
2019-11-10,71
2019-11-17,74
2019-11-24,79
2019-12-01,77
2019-12-08,82
2019-12-15,95
2019-12-22,100
2019-12-29,85
2020-01-05,74
2020-01-12,72
2020-01-19,73
2020-01-26,69
2020-02-02,67
2020-02-09,69
2020-02-16,68
2020-02-23,68
2020-03-01,65
2020-03-08,60
2020-03-15,56
2020-03-22,55
2020-03-29,65
2020-04-05,69
2020-04-12,72
2020-04-19,71
2020-04-26,79
2020-05-03,74
2020-05-10,72
2020-05-17,78
2020-05-24,71
2020-05-31,66
2020-06-07,67
2020-06-14,70
2020-06-21,72
2020-06-28,70
2020-07-05,70
2020-07-12,68
2020-07-19,71
2020-07-26,66
2020-08-02,67
2020-08-09,65
2020-08-16,66
2020-08-23,67
2020-08-30,71
2020-09-06,70
2020-09-13,66
2020-09-20,63
2020-09-27,65
2020-10-04,61
2020-10-11,65
2020-10-18,62
2020-10-25,65
2020-11-01,59
2020-11-08,70
2020-11-15,72
2020-11-22,82
2020-11-29,83
2020-12-06,82
2020-12-13,82
2020-12-20,100
2020-12-27,86
2021-01-03,67
2021-01-10,66
2021-01-17,66
2021-01-24,67
2021-01-31,66
2021-02-07,65
2021-02-14,70
2021-02-21,65
2021-02-28,64
2021-03-07,63
2021-03-14,62
2021-03-21,61
2021-03-28,64
2021-04-04,63
2021-04-11,61
2021-04-18,60
2021-04-25,61
2021-05-02,61
2021-05-09,65
2021-05-16,62
2021-05-23,66
2021-05-30,63
2021-06-06,60
2021-06-13,63
2021-06-20,61
2021-06-27,63
2021-07-04,60
2021-07-11,61
2021-07-18,64
2021-07-25,64
2021-08-01,61
2021-08-08,60
2021-08-15,62
2021-08-22,61
2021-08-29,62
2021-09-05,62
2021-09-12,61
2021-09-19,60
2021-09-26,59
2021-10-03,66
2021-10-10,59
2021-10-17,64
2021-10-24,61
2021-10-31,65
2021-11-07,63
2021-11-14,64
2021-11-21,73
2021-11-28,71
2021-12-05,72
2021-12-12,77
2021-12-19,89
2021-12-26,82
2022-01-02,69
2022-01-09,70
2022-01-16,63
2022-01-23,65
2022-01-30,64
2022-02-06,62
2022-02-13,66
2022-02-20,61
2022-02-27,63
2022-03-06,61
2022-03-13,64
2022-03-20,61
2022-03-27,63
2022-04-03,63
2022-04-10,65
2022-04-17,64
2022-04-24,64
2022-05-01,64
2022-05-08,62
2022-05-15,62
2022-05-22,64
2022-05-29,62
2022-06-05,63
2022-06-12,62
2022-06-19,64
2022-06-26,61
2022-07-03,65
2022-07-10,64
2022-07-17,63
2022-07-24,62
2022-07-31,61
2022-08-07,62
2022-08-14,67
2022-08-21,62
2022-08-28,62
2022-09-04,56
2022-09-11,60
2022-09-18,59
2022-09-25,62
2022-10-02,60
2022-10-09,62
2022-10-16,60
2022-10-23,60
2022-10-30,61
2022-11-06,62
2022-11-13,64
2022-11-20,65
2022-11-27,65
2022-12-04,67
2022-12-11,72
2022-12-18,81
2022-12-25,83
2023-01-01,69
2023-01-08,63
2023-01-15,63
2023-01-22,65
2023-01-29,61
2023-02-05,59
2023-02-12,57
2023-02-19,66
2023-02-26,52
2023-03-05,59
2023-03-12,58
2023-03-19,68
2023-03-26,62
2023-04-02,63
2023-04-09,60
2023-04-16,58
2023-04-23,60
2023-04-30,60
2023-05-07,60
2023-05-14,58
2023-05-21,60
2023-05-28,57
2023-06-04,58
2023-06-11,60
2023-06-18,57
2023-06-25,63
2023-07-02,61
2023-07-09,62
2023-07-16,59
2023-07-23,62
2023-07-30,62
2023-08-06,56
2023-08-13,62
2023-08-20,62
2023-08-27,60
2023-09-03,60
2023-09-10,56
2023-09-17,57
2023-09-24,57
2023-10-01,57
2023-10-08,57
2023-10-15,59
2023-10-22,60
2023-10-29,56
2023-11-05,60
2023-11-12,60
2023-11-19,70
2023-11-26,60
2023-12-03,67
2023-12-10,69
2023-12-17,76
2023-12-24,74
2023-12-31,66
2024-01-07,57
2024-01-14,63
2024-01-21,60
2024-01-28,58
2024-02-04,57
2024-02-11,59
2024-02-18,57
2024-02-25,54
2024-03-03,56
2024-03-10,59
2024-03-17,60
2024-03-24,57
2024-03-31,61
2024-04-07,57
2024-04-14,60
2024-04-21,62
2024-04-28,60
2024-05-05,59
2024-05-12,57
2024-05-19,56
2024-05-26,59
2024-06-02,54
2024-06-09,60
2024-06-16,59
2024-06-23,55
2024-06-30,58
2024-07-07,58
2024-07-14,60
2024-07-21,55
2024-07-28,56
2024-08-04,56
2024-08-11,55
